File,Brands(%Of-File),Brands(%Of-Feature),Brands(#Propagations),HeaderMVC(%Of-File),HeaderMVC(%Of-Feature),HeaderMVC(#Propagations),HeaderSPA(%Of-File),HeaderSPA(%Of-Feature),HeaderSPA(#Propagations),Items(%Of-File),Items(%Of-Feature),Items(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Ordering(%Of-File),Ordering(%Of-Feature),Ordering(#Propagations),Payment(%Of-File),Payment(%Of-Feature),Payment(#Propagations),Pictures(%Of-File),Pictures(%Of-Feature),Pictures(#Propagations),Types(%Of-File),Types(%Of-Feature),Types(#Propagations)
src\Web\WebSPA\Client\src\modules\shared\components\identity\identity.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.90412272291466,0.9803921568627451,1,0,0,0
src\Web\WebMVC\Views\Shared\_Layout.cshtml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9440056169914,1.9607843137254901,2,0,0,0
build\acr-build\queue-all.ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253370525337052,0.9803921568627451,1,0,0,0
build\multiarch-manifests\create-manifests.ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040943789035392,0.9803921568627451,1,0,0,0
deploy\k8s\helm\app.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.214331413947536,1.9607843137254901,2,0,0,0
deploy\azure\az\sql\sqldeploy.parameters.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.518763796909492,0.9803921568627451,1,0,0,0
deploy\k8s\helm\deploy-all-mac.ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20905923344947736,0.9803921568627451,1,0,0,0
deploy\k8s\helm\deploy-all.ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21043771043771042,0.9803921568627451,1,0,0,0
deploy\k8s\helm\deploy-all.sh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26289845547157414,1.9607843137254901,2,0,0,0
deploy\k8s\helm\inf.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.516654330125833,0.9803921568627451,1,0,0,0
deploy\k8s\helm\basket-api\values.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7873270211216314,0.9803921568627451,1,0,0,0
deploy\k8s\helm\basket-api\templates\configmap.yaml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24092409240924,0.9803921568627451,1,0,0,0
src\docker-compose-tests.override.yml,27.548864236661387,2.5,3,0,0,0,6.378763866877972,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,12.876386687797147,3.9215686274509802,4,0,0,0
src\docker-compose-tests.yml,24.910650464617586,0.8333333333333334,1,0,0,0,7.326661901358113,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4696211579699785,0.9803921568627451,1,0,0,0
src\docker-compose-windows.prod.yml,22.082729760180268,5,6,0,0,0,3.9755351681957185,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,17.35071624014164,4.901960784313726,5,0,0,0
src\docker-compose.override.yml,25.59546900457755,9.166666666666666,11,0,0,0,6.928388548374582,11.76470588235294,4,0,0,0,0,0,0,0,0,0,0,0,0,11.692140584994958,10.784313725490197,11,0,0,0
src\docker-compose.prod.yml,17.97043824012447,5.833333333333333,7,0,0,0,5.774051344109258,11.76470588235294,4,0,0,0,0,0,0,0,0,0,0,0,0,20.641369176246865,10.784313725490197,11,0,0,0
src\docker-compose.windows.yml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.589413447782546,0.9803921568627451,1,0,0,0
src\docker-compose.yml,22.83140283140283,3.3333333333333335,4,0,0,0,5.37966537966538,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,7.078507078507079,3.9215686274509802,4,0,0,0
src\eShopOnContainers-ServicesAndWebApps.sln,20.536977087720402,20,24,0,0,0,3.420341326963573,8.823529411764707,3,0,0,0,0,0,0,0,0,0,0,0,0,3.4187698400226294,4.901960784313726,5,0,0,0
src\prepare-devspaces.ps1,18.775274407856728,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.452339688041594,0.9803921568627451,1,0,0,0
src\run-test-infrastructure.ps1,0,0,0,0,0,0,8.743169398907105,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,9.836065573770492,0.9803921568627451,1,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\appsettings.localhost.json,7.248764415156507,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.746293245469523,1.9607843137254901,2,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\Dockerfile,21.143473570658035,0.8333333333333334,1,0,0,0,2.26537216828479,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,2.394822006472492,0.9803921568627451,1,0,0,0
src\ApiGateways\Mobile.Bff.Shopping\aggregator\Startup.cs,6.022777047744196,2.5,3,0,0,0,1.2593079281646955,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,4.06263688129654,1.9607843137254901,2,0,0,0
src\ApiGateways\Web.Bff.Shopping\aggregator\appsettings.localhost.json,14.102564102564102,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.141025641025642,0.9803921568627451,1,0,0,0
src\ApiGateways\Web.Bff.Shopping\aggregator\Dockerfile,21.17545375972342,0.8333333333333334,1,0,0,0,2.2687986171132235,2.941176470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,2.398444252376837,0.9803921568627451,1,0,0,0
